image,width,height,class,min_x,min_y,max_x,max_y
^000004.png,335,500,cat,161,185,200,241
^000004.png,335,500,cat,108,192,150,230
^000004.png,335,500,cat,100,256,175,380
^000006.png,640,480,car,144,113,390,260
^000008.png,500,375,horse,267,72,498,326
^000008.png,500,375,horse,90,186,145,267
^000016.png,500,333,cat,85,114,452,332
^000016.png,500,333,cat,302,50,390,159
^000016.png,500,333,cat,135,47,262,202
^000017.png,640,480,car,59,127,594,381
^000018.png,500,333,dog,174,1,500,280
^000019.png,640,480,cow,118,72,601,395
^000019.png,640,480,cow,65,245,474,395
^000020.png,640,480,bicycle,282,374,355,441
^000020.png,640,480,car,532,375,640,480
^000023.png,500,375,dog,158,117,362,375
^000025.png,640,480,cow,152,96,522,371
^000026.png,374,500,motorbike,2,15,372,450
^000029.png,251,336,motorbike,28,185,163,299
^000029.png,251,336,person,80,137,156,281
^000031.png,330,500,bicycle,2,143,312,496
^000031.png,330,500,person,12,8,233,369
^000032.png,640,480,cow,63,45,584,458
^000034.png,640,480,person,578,270,640,480
^000034.png,640,480,car,20,296,173,376
^000034.png,640,480,bus,122,166,209,353
^000034.png,640,480,bus,207,6,577,429
^000036.png,500,333,motorbike,395,82,498,218
^000036.png,500,333,motorbike,124,99,372,291
^000036.png,500,333,person,174,48,274,287
^000036.png,500,333,person,238,19,348,259
^000036.png,500,333,person,373,58,401,107
^000037.png,640,480,cow,76,66,566,430
^000037.png,640,480,cow,345,67,498,139
^000040.png,640,480,cow,136,37,373,411
^000041.png,640,480,car,39,160,597,395
^000044.png,500,382,dog,171,132,458,374
^000046.png,500,375,cat,154,103,422,294
^000046.png,500,375,person,8,15,387,374
^000047.png,640,480,car,51,153,606,398
^000050.png,500,357,dog,43,63,366,305
^000051.png,500,375,cat,86,87,380,322
^000054.png,500,375,dog,405,153,500,285
^000054.png,500,375,dog,4,186,156,320
^000054.png,500,375,dog,6,128,180,291
^000056.png,500,294,horse,224,210,299,265
^000056.png,500,294,person,259,201,276,230
^000057.png,640,480,car,54,164,589,381
^000061.png,640,425,person,218,164,287,310
^000061.png,640,425,person,450,161,509,330
^000062.png,640,480,bicycle,85,48,605,393
^000062.png,640,480,bicycle,2,16,271,354
^000064.png,500,333,cat,15,4,498,317
^000067.png,640,480,car,105,153,505,342
^000067.png,640,480,car,2,187,150,270
^000069.png,640,480,sheep,423,178,447,206
^000069.png,640,480,sheep,347,161,375,179
^000069.png,640,480,sheep,281,177,333,205
^000069.png,640,480,sheep,104,171,162,202
^000070.png,640,480,cat,2,42,617,438
^000071.png,500,375,motorbike,435,160,500,373
^000071.png,500,375,motorbike,38,4,435,345
^000071.png,500,375,motorbike,5,31,211,244
^000071.png,500,375,person,2,4,117,246
^000071.png,500,375,person,189,1,217,33
^000071.png,500,375,person,221,1,254,47
^000073.png,640,480,cow,173,110,436,319
^000074.png,500,374,cow,22,189,291,357
^000074.png,500,374,person,245,142,405,366
^000078.png,500,333,cow,113,11,500,333
^000079.png,375,500,dog,175,223,294,458
^000079.png,375,500,dog,112,205,216,460
^000079.png,375,500,person,103,111,276,427
^000082.png,500,375,horse,118,78,475,252
^000082.png,500,375,horse,72,142,143,236
^000083.png,500,363,cow,146,112,355,278
^000086.png,400,300,person,203,90,349,300
^000086.png,400,300,person,94,117,237,298
^000087.png,640,480,cow,153,138,551,431
